
 session_id                           | client    | command | coordinator | duration | parameters                                                                                                                                                                                             | request            | started_at
--------------------------------------+-----------+---------+-------------+----------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+---------------------------------
 7a993570-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     3886 |                 {'consistency_level': 'ONE', 'page_size': '100', 'query': 'insert into testdb.testcf (field0,field1,field2,field3) values (''A'',''G1'',1,10);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:19.911000+0000
 8e15ead0-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1676 |                                                            {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select field0,field1 from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.605000+0000
 83f38c40-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2291 |                                                             {'consistency_level': 'ONE', 'query': 'SELECT schema_version FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.596000+0000
 7a024ca0-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |   926853 |         {'consistency_level': 'ONE', 'page_size': '100', 'query': 'create table testdb.testcf (field0 TEXT primary key,  field1 TEXT, field2 int, field3 int);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:18.922000+0000
 884b2690-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1396 |                                                              {'consistency_level': 'ONE', 'query': 'SELECT peer, rpc_address, schema_version FROM system.peers', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:19:01.881000+0000
 7a9fec30-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      757 |                 {'consistency_level': 'ONE', 'page_size': '100', 'query': 'insert into testdb.testcf (field0,field1,field2,field3) values (''D'',''G2'',4,40);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:19.955000+0000
 7ab32610-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      966 |                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'delete field1,field2 from  testdb.testcf WHERE field0=''C'';', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:20.081000+0000
 83991030-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      430 |                                                      {'consistency_level': 'ONE', 'page_size': '100', 'query': 'delete from  testdb.testcf WHERE field0=''C'';', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.003000+0000
 838bf0d0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2115 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.917000+0000
