Now tracing requests.

Tracing session: d26f6680-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                                      | timestamp    | source    | source_elapsed
---------------------------------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                                            execute_cql3_query | 20:54:40,616 | 127.0.0.1 |              0
         Parsing create keyspace  testdb with replication = {'class':'SimpleStrategy','replication_factor':1}; | 20:54:40,616 | 127.0.0.1 |             51
                                                                                           Preparing statement | 20:54:40,616 | 127.0.0.1 |            139
               Executing seq scan across 1 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:40,617 | 127.0.0.1 |           1234
                                                                             Read 3 live and 0 tombstone cells | 20:54:40,618 | 127.0.0.1 |           2087
                                                                             Read 3 live and 0 tombstone cells | 20:54:40,618 | 127.0.0.1 |           2219
                                                                             Read 0 live and 0 tombstone cells | 20:54:40,618 | 127.0.0.1 |           2331
                                                                             Read 3 live and 0 tombstone cells | 20:54:40,618 | 127.0.0.1 |           2398
                                                                                  Scanned 4 rows and matched 4 | 20:54:40,619 | 127.0.0.1 |           2488
               Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:40,619 | 127.0.0.1 |           2711
                                                                            Read 25 live and 0 tombstone cells | 20:54:40,621 | 127.0.0.1 |           5131
                                                                            Read 25 live and 0 tombstone cells | 20:54:40,621 | 127.0.0.1 |           5340
                                                                           Read 403 live and 0 tombstone cells | 20:54:40,625 | 127.0.0.1 |           9378
                                                                             Read 0 live and 0 tombstone cells | 20:54:40,626 | 127.0.0.1 |           9521
                                                                            Read 50 live and 0 tombstone cells | 20:54:40,626 | 127.0.0.1 |           9833
                                                                                  Scanned 5 rows and matched 5 | 20:54:40,626 | 127.0.0.1 |           9960
                                                                                Acquiring switchLock read lock | 20:54:40,626 | 127.0.0.1 |          10034
                                                                                        Appending to commitlog | 20:54:40,626 | 127.0.0.1 |          10047
                                                                           Adding to schema_keyspaces memtable | 20:54:40,626 | 127.0.0.1 |          10083
               Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,677 | 127.0.0.1 |        1060533
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,678 | 127.0.0.1 |        1061735
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,678 | 127.0.0.1 |        1061827
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,678 | 127.0.0.1 |        1061907
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,678 | 127.0.0.1 |        1061965
                                                                                  Scanned 4 rows and matched 4 | 20:54:41,678 | 127.0.0.1 |        1062079
               Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,678 | 127.0.0.1 |        1062246
                                                                            Read 25 live and 0 tombstone cells | 20:54:41,680 | 127.0.0.1 |        1063545
                                                                            Read 25 live and 0 tombstone cells | 20:54:41,680 | 127.0.0.1 |        1063743
                                                                           Read 403 live and 0 tombstone cells | 20:54:41,684 | 127.0.0.1 |        1067696
                                                                             Read 0 live and 0 tombstone cells | 20:54:41,684 | 127.0.0.1 |        1067865
                                                                            Read 50 live and 0 tombstone cells | 20:54:41,684 | 127.0.0.1 |        1068375
                                                                                  Scanned 5 rows and matched 5 | 20:54:41,685 | 127.0.0.1 |        1068489
                                                                 Parsing SELECT * FROM system.schema_keyspaces | 20:54:41,685 | 127.0.0.1 |        1068845
                                                                                           Preparing statement | 20:54:41,685 | 127.0.0.1 |        1068957
               Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,690 | 127.0.0.1 |        1073586
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,691 | 127.0.0.1 |        1074810
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,691 | 127.0.0.1 |        1074883
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,691 | 127.0.0.1 |        1074929
                                                                             Read 3 live and 0 tombstone cells | 20:54:41,691 | 127.0.0.1 |        1074977
                                                                                  Scanned 4 rows and matched 4 | 20:54:41,691 | 127.0.0.1 |        1075040
               Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,691 | 127.0.0.1 |        1075146
                                                                            Read 25 live and 0 tombstone cells | 20:54:41,692 | 127.0.0.1 |        1076323
                                                                            Read 25 live and 0 tombstone cells | 20:54:41,693 | 127.0.0.1 |        1076496
                                                                           Read 403 live and 0 tombstone cells | 20:54:41,697 | 127.0.0.1 |        1080768
                                                                             Read 0 live and 0 tombstone cells | 20:54:41,697 | 127.0.0.1 |        1080891
                                                                            Read 50 live and 0 tombstone cells | 20:54:41,697 | 127.0.0.1 |        1081214
                                                                                  Scanned 5 rows and matched 5 | 20:54:41,697 | 127.0.0.1 |        1081307
               Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,698 | 127.0.0.1 |        1081462
                                                                            Read 43 live and 0 tombstone cells | 20:54:41,699 | 127.0.0.1 |        1082861
                                                                            Read 11 live and 0 tombstone cells | 20:54:41,699 | 127.0.0.1 |        1082942
                                                                           Read 433 live and 0 tombstone cells | 20:54:41,700 | 127.0.0.1 |        1084035
                                                                             Read 0 live and 0 tombstone cells | 20:54:41,700 | 127.0.0.1 |        1084117
                                                                            Read 46 live and 0 tombstone cells | 20:54:41,700 | 127.0.0.1 |        1084221
                                                                                  Scanned 5 rows and matched 5 | 20:54:41,700 | 127.0.0.1 |        1084292
               Executing seq scan across 1 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:41,700 | 127.0.0.1 |        1084412
                                                                             Read 0 live and 0 tombstone cells | 20:54:41,701 | 127.0.0.1 |        1084628
                                                                                  Scanned 1 rows and matched 1 | 20:54:41,701 | 127.0.0.1 |        1084684
 Parsing INSERT INTO system.local (key, schema_version) VALUES ('local', 0c4081c2-e112-3259-9bf3-5324fb1a893e) | 20:54:41,701 | 127.0.0.1 |        1085045
                                                                                           Preparing statement | 20:54:41,701 | 127.0.0.1 |        1085137
                                                                                Acquiring switchLock read lock | 20:54:41,701 | 127.0.0.1 |        1085285
                                                                                        Appending to commitlog | 20:54:41,701 | 127.0.0.1 |        1085305
                                                                                      Adding to local memtable | 20:54:41,701 | 127.0.0.1 |        1085321
                                                                                              Request complete | 20:54:41,701 | 127.0.0.1 |        1085601



Tracing session: d367f750-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                                                                                                                                                                                     | timestamp    | source    | source_elapsed
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                                                                                                                                                                                           execute_cql3_query | 20:54:42,245 | 127.0.0.1 |              0
                                                                                                                                                          Parsing create table testdb.testcf (field0 TEXT primary key,  field1 TEXT, field2 int, field3 int); | 20:54:42,245 | 127.0.0.1 |             39
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,245 | 127.0.0.1 |            162
                                                                                                                                                                                                         Executing single-partition query on schema_keyspaces | 20:54:42,248 | 127.0.0.1 |           3059
                                                                                                                                                                                                                                 Acquiring sstable references | 20:54:42,248 | 127.0.0.1 |           3081
                                                                                                                                                                                                                                  Merging memtable tombstones | 20:54:42,248 | 127.0.0.1 |           3148
