OK
1478534806.807505 [0 127.0.0.1:59090] "PING"
1478534807.168311 [0 127.0.0.1:59090] "PUBLISH" "__sentinel__:hello" "127.0.0.1,26379,621eb09afc638230290dad249682c70ee6c96319,0,mymaster,127.0.0.1,6379,0"
1478534807.869892 [0 127.0.0.1:59090] "PING"
1478534808.872803 [0 127.0.0.1:59090] "PING"
1478534809.189367 [0 127.0.0.1:59090] "PUBLISH" "__sentinel__:hello" "127.0.0.1,26379,621eb09afc638230290dad249682c70ee6c96319,0,mymaster,127.0.0.1,6379,0"
1478534809.920070 [0 127.0.0.1:59090] "PING"
1478534810.934541 [0 127.0.0.1:59090] "PING"
1478534811.285150 [0 127.0.0.1:59090] "PUBLISH" "__sentinel__:hello" "127.0.0.1,26379,621eb09afc638230290dad249682c70ee6c96319,0,mymaster,127.0.0.1,6379,0"
1478534811.969507 [0 127.0.0.1:59090] "PING"
1478534811.986026 [0 127.0.0.1:42663] "HGETALL" "user4153387984724034032"
1478534812.006197 [0 127.0.0.1:42663] "HGETALL" "user533073870437445548"
1478534812.006988 [0 127.0.0.1:42663] "HGETALL" "user421878369568224943"
1478534812.007514 [0 127.0.0.1:42663] "HGETALL" "user5691533215384974621"
1478534812.008158 [0 127.0.0.1:42663] "HGETALL" "user2297736324343954580"
1478534812.008690 [0 127.0.0.1:42663] "HGETALL" "user4645591768905733710"
1478534812.010174 [0 127.0.0.1:42663] "HMSET" "user7827613273347585481" "field6" "#Hc6.*5\\-,3|-<:9M!=?b'B;<W/92`.9f.I'=9`>Dy$\\#-E);Z\x7f&# 1\"6( ,.U;45`2G/5!.0=64V9\"Ng#@%,Q==5f+H\x7f?C-!_=1"
1478534812.010652 [0 127.0.0.1:42663] "HGETALL" "user2051354451997034517"
1478534812.011180 [0 127.0.0.1:42663] "HGETALL" "user4404237723872379893"
1478534812.011771 [0 127.0.0.1:42663] "HGETALL" "user2865750847917140739"
1478534812.012325 [0 127.0.0.1:42663] "HGETALL" "user7817680948796909671"
1478534812.012884 [0 127.0.0.1:42663] "HGETALL" "user4294162144027440184"
1478534812.013416 [0 127.0.0.1:42663] "HGETALL" "user5460111494902296614"
1478534812.013944 [0 127.0.0.1:42663] "HGETALL" "user4153387984724034032"
1478534812.014411 [0 127.0.0.1:42663] "HGETALL" "user8632637305229156341"
1478534812.014893 [0 127.0.0.1:42663] "HGETALL" "user3806302896570709622"
1478534812.015425 [0 127.0.0.1:42663] "HGETALL" "user5233812586874570054"
1478534812.015916 [0 127.0.0.1:42663] "HGETALL" "user2534185872140198833"
1478534812.016420 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.016915 [0 127.0.0.1:42663] "HGETALL" "user8049444314573886243"
1478534812.017382 [0 127.0.0.1:42663] "HGETALL" "user2417744228739570099"
1478534812.017867 [0 127.0.0.1:42663] "HGETALL" "user1116266861092715646"
1478534812.018398 [0 127.0.0.1:42663] "HGETALL" "user4756568954557112432"
