OK
1478534827.493127 [0 127.0.0.1:59090] "PING"
1478534827.627043 [0 127.0.0.1:59090] "PUBLISH" "__sentinel__:hello" "127.0.0.1,26379,621eb09afc638230290dad249682c70ee6c96319,0,mymaster,127.0.0.1,6379,0"
1478534828.533522 [0 127.0.0.1:59090] "PING"
1478534829.012105 [0 127.0.0.1:42699] "HGETALL" "user5464797676921564295"
1478534829.029742 [0 127.0.0.1:42699] "HGETALL" "user2408371864701034737"
1478534829.030438 [0 127.0.0.1:42699] "HGETALL" "user6862728708791239180"
1478534829.030946 [0 127.0.0.1:42699] "HGETALL" "user5817128907606296834"
1478534829.031510 [0 127.0.0.1:42699] "HGETALL" "user2865750847917140739"
1478534829.032011 [0 127.0.0.1:42699] "HGETALL" "user2172140632122632367"
1478534829.032586 [0 127.0.0.1:42699] "HGETALL" "user1825055543969307957"
1478534829.033109 [0 127.0.0.1:42699] "HGETALL" "user3714753729584998754"
1478534829.033608 [0 127.0.0.1:42699] "HGETALL" "user5575651532496486335"
1478534829.034077 [0 127.0.0.1:42699] "HGETALL" "user2423550331783118676"
1478534829.034630 [0 127.0.0.1:42699] "HGETALL" "user5933010590494785120"
1478534829.035177 [0 127.0.0.1:42699] "HGETALL" "user2538872054159466514"
1478534829.035736 [0 127.0.0.1:42699] "HGETALL" "user6882935003186889365"
1478534829.036266 [0 127.0.0.1:42699] "HGETALL" "user8054690457105294372"
1478534829.036767 [0 127.0.0.1:42699] "HGETALL" "user181302600264853457"
1478534829.037351 [0 127.0.0.1:42699] "HGETALL" "user1101648354522772155"
1478534829.037810 [0 127.0.0.1:42699] "HGETALL" "user8160298170148808283"
1478534829.038273 [0 127.0.0.1:42699] "HGETALL" "user5107998579435405958"
1478534829.038747 [0 127.0.0.1:42699] "HGETALL" "user4177720500626811450"
1478534829.039199 [0 127.0.0.1:42699] "HGETALL" "user2056600594528442646"
1478534829.039633 [0 127.0.0.1:42699] "HGETALL" "user6415282050125808988"
1478534829.040061 [0 127.0.0.1:42699] "HGETALL" "user5932668945200486555"
1478534829.040517 [0 127.0.0.1:42699] "HGETALL" "user4997144723860483918"
1478534829.040933 [0 127.0.0.1:42699] "HGETALL" "user1568741347071712084"
1478534829.041376 [0 127.0.0.1:42699] "HGETALL" "user9220639807980150802"
1478534829.041821 [0 127.0.0.1:42699] "HGETALL" "user5460329810120138497"
1478534829.042258 [0 127.0.0.1:42699] "HGETALL" "user9004054909285258169"
1478534829.042667 [0 127.0.0.1:42699] "HGETALL" "user3338649943509629245"
1478534829.043111 [0 127.0.0.1:42699] "HGETALL" "user3348582268060305055"
1478534829.043547 [0 127.0.0.1:42699] "HGETALL" "user2408371864701034737"
1478534829.043949 [0 127.0.0.1:42699] "HGETALL" "user9220858123197992685"
1478534829.044405 [0 127.0.0.1:42699] "HGETALL" "user1950651236190630170"
1478534829.044821 [0 127.0.0.1:42699] "HGETALL" "user1352156448376819451"
1478534829.045271 [0 127.0.0.1:42699] "HGETALL" "user2519225720275956777"
1478534829.045692 [0 127.0.0.1:42699] "HGETALL" "user3931556943497733270"
1478534829.046103 [0 127.0.0.1:42699] "HGETALL" "user518113718573203492"
1478534829.046553 [0 127.0.0.1:42699] "HGETALL" "user5691533215384974621"
1478534829.046983 [0 127.0.0.1:42699] "HGETALL" "user3232482269953974886"
1478534829.047424 [0 127.0.0.1:42699] "HGETALL" "user663014099383736877"
1478534829.047873 [0 127.0.0.1:42699] "HGETALL" "user6405349725575133178"
1478534829.048337 [0 127.0.0.1:42699] "HGETALL" "user6168558532484590360"
1478534829.048752 [0 127.0.0.1:42699] "HGETALL" "user7812994766777641990"
1478534829.049186 [0 127.0.0.1:42699] "HGETALL" "user1473065958578873983"
1478534829.049616 [0 127.0.0.1:42699] "HGETALL" "user4872108992151302153"
1478534829.050038 [0 127.0.0.1:42699] "HGETALL" "user5817347222824138717"
1478534829.050507 [0 127.0.0.1:42699] "HGETALL" "user296624322641201295"
1478534829.050918 [0 127.0.0.1:42699] "HGETALL" "user311242829211144786"
1478534829.051411 [0 127.0.0.1:42699] "HGETALL" "user7456195669291483653"
1478534829.051858 [0 127.0.0.1:42699] "HGETALL" "user7093932114056075304"
1478534829.052299 [0 127.0.0.1:42699] "HGETALL" "user1835329513814282332"
1478534829.052756 [0 127.0.0.1:42699] "HGETALL" "user1347470266357551770"
1478534829.053172 [0 127.0.0.1:42699] "HGETALL" "user2519225720275956777"
1478534829.053598 [0 127.0.0.1:42699] "HGETALL" "user1593633823486629950"
1478534829.054029 [0 127.0.0.1:42699] "HGETALL" "user7360520280798645552"
1478534829.054468 [0 127.0.0.1:42699] "HGETALL" "user1367116600241061507"
1478534829.054901 [0 127.0.0.1:42699] "HGETALL" "user2895329506351326286"
1478534829.055644 [0 127.0.0.1:42699] "HGETALL" "user1573987489603120213"
